,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2019 Percent change in real GDP by state,2020 Percent change in real GDP by state,2021 Percent change in real GDP by state,,
Connecticut,285446.0,286646.0,288493.0,290703.0,288368.0,262708.0,283601.0,288923.0,285112.0,293595.0,298612.0,0.9,-4.1,2.5,,
Maine ,66662.0,67053.0,68168.0,68985.0,68319.0,61496.0,67129.0,67839.0,73174.0,75214.0,76664.0,2.6,-4.1,1.8,,
Massachusetts ,588308.0,594310.0,600545.0,603210.0,600740.0,546546.0,590307.0,598562.0,610700.0,629570.0,642038.0,2.4,-3.8,3.8,,
New Hampshire ,87338.0,87343.0,87840.0,88015.0,88126.0,78691.0,86319.0,87300.0,92753.0,98746.0,99030.0,1.4,-4.7,-3.7,,
Rhode Island ,61627.0,61805.0,61769.0,62335.0,61954.0,56285.0,61081.0,61578.0,62340.0,65700.0,66894.0,1.0,-4.5,2.2,,
Vermont ,33810.0,33806.0,34117.0,34320.0,34017.0,30175.0,33278.0,33718.0,35032.0,35703.0,36302.0,0.8,-5.4,0.6,,
Delaware ,76250.0,76925.0,77276.0,77879.0,76283.0,71611.0,76468.0,77688.0,77392.0,79728.0,81546.0,1.8,-3.9,5.1,,
Maryland ,420722.0,424620.0,428650.0,432998.0,431772.0,398609.0,427616.0,432909.0,430607.0,431319.0,439028.0,1.4,-2.6,1.8,,
New Jersey,626258.0,631546.0,638364.0,642968.0,641666.0,574018.0,625659.0,634903.0,649336.0,661895.0,677006.0,1.4,-4.1,3.8,,
New York,1746191.0,1771545.0,1779740.0,1791567.0,1778240.0,1587879.0,1705127.0,1724933.0,1791204.0,1842363.0,1867929.0,1.6,-5.9,2.3,,
Pennsylvania ,797988.0,805933.0,812580.0,818449.0,808937.0,723830.0,788500.0,799437.0,807846.0,828896.0,846123.0,2.4,-4.4,2.4,,
Illinois ,878173.0,880445.0,890358.0,893356.0,884447.0,807383.0,875671.0,886565.0,906798.0,927452.0,945654.0,0.5,-4.0,2.1,,
Indiana,374443.0,377844.0,381579.0,384872.0,381902.0,344033.0,379293.0,385319.0,403694.0,415923.0,423729.0,1.6,-3.1,0.4,,
Michigan ,529751.0,533727.0,540586.0,543489.0,535153.0,475494.0,524828.0,528238.0,541145.0,566009.0,574150.0,0.8,-5.4,-0.2,,
Ohio ,688012.0,691885.0,698181.0,703369.0,696274.0,626275.0,683460.0,694139.0,710999.0,728398.0,741400.0,1.5,-4.0,1.0,,
Wisconsin ,345242.0,348471.0,350017.0,353935.0,348021.0,314027.0,344500.0,348166.0,353610.0,362319.0,367887.0,1.4,-4.5,0.0,,
Iowa ,192286.0,193982.0,196117.0,196247.0,196503.0,179037.0,195353.0,199948.0,210045.0,219941.0,223685.0,0.4,-2.3,-0.5,,
Kansas,174452.0,175962.0,176954.0,178605.0,177917.0,161464.0,175465.0,178346.0,185475.0,191170.0,194278.0,1.2,-3.0,-0.8,,
Minnesota ,378234.0,381618.0,385752.0,389504.0,384500.0,348034.0,379388.0,385485.0,392457.0,408961.0,417194.0,1.1,-3.7,2.0,,
Missouri ,324813.0,326230.0,329900.0,332660.0,330287.0,299131.0,325841.0,331577.0,347677.0,356070.0,362956.0,1.0,-3.6,1.6,,
Nebraska,126562.0,128851.0,131433.0,133201.0,132720.0,119692.0,129761.0,133062.0,145825.0,149355.0,152222.0,2.0,-2.1,0.0,,
North Dakota ,56696.0,57357.0,57199.0,57472.0,56417.0,49881.0,54044.0,55790.0,59703.0,62890.0,64583.0,0.9,-3.5,-2.8,,
South Dakota ,53712.0,54497.0,55502.0,56052.0,56072.0,50951.0,55243.0,57142.0,58939.0,61094.0,61980.0,0.6,-1.7,-1.0,,
Alabama ,225565.0,226927.0,229328.0,230750.0,229831.0,209852.0,228062.0,231736.0,238126.0,243787.0,248991.0,1.4,-2.7,1.6,,
Arkansas,129193.0,130471.0,131556.0,132596.0,131818.0,120812.0,130709.0,132956.0,138771.0,143004.0,145924.0,0.6,-2.6,0.9,,
Florida ,1087641.0,1098679.0,1113170.0,1126510.0,1121367.0,1026676.0,1111614.0,1123896.0,1163342.0,1213461.0,1242300.0,2.8,-2.9,3.8,,
Georgia ,616437.0,622814.0,629466.0,634138.0,631346.0,580732.0,627667.0,637216.0,653600.0,675620.0,690040.0,1.6,-2.5,3.1,,
Kentucky,212486.0,214284.0,216399.0,218426.0,216580.0,193878.0,213169.0,216469.0,225701.0,231511.0,236301.0,1.8,-3.7,1.0,,
Louisiana ,255724.0,255708.0,257162.0,259079.0,250976.0,224129.0,244577.0,248281.0,243641.0,253298.0,257161.0,2.1,-5.5,-2.4,,
Mississippi ,114563.0,115175.0,116506.0,117642.0,117099.0,105681.0,115900.0,118122.0,120445.0,123758.0,126264.0,0.6,-2.8,0.6,,
North Carolina ,581020.0,588477.0,595118.0,601788.0,600631.0,546776.0,594126.0,603013.0,628106.0,646904.0,660327.0,1.9,-2.5,2.4,,
South Carolina ,244305.0,245095.0,249111.0,251665.0,247817.0,224689.0,245473.0,248776.0,259691.0,266774.0,272097.0,2.8,-4.1,1.6,,
Tennessee ,370936.0,375387.0,379183.0,380823.0,379454.0,333194.0,369063.0,376233.0,400792.0,411983.0,421352.0,1.6,-4.9,3.1,,
Virginia ,548014.0,552270.0,560808.0,566529.0,562718.0,519912.0,557986.0,566425.0,572428.0,584197.0,596025.0,2.2,-2.5,2.9,,
West Virginia ,78711.0,79185.0,79078.0,78480.0,76366.0,68001.0,74511.0,75959.0,82923.0,86257.0,88446.0,0.7,-5.5,-1.9,,
Arizona ,361380.0,366905.0,373173.0,379019.0,377476.0,350141.0,378297.0,383930.0,393599.0,405789.0,415561.0,3.1,-0.9,3.4,,
New Mexico,102972.0,104682.0,106005.0,106914.0,104462.0,93367.0,100777.0,102635.0,104315.0,107115.0,109603.0,5.2,-3.1,-0.1,,
Oklahoma,202147.0,202274.0,202119.0,201604.0,195606.0,173061.0,186883.0,190776.0,196400.0,203273.0,208765.0,2.4,-6.1,1.3,,
Texas,1827426.0,1835576.0,1850626.0,1861582.0,1818394.0,1628185.0,1772132.0,1820226.0,1880288.0,1949756.0,2006650.0,2.9,-3.5,3.7,,
